matrix_size,strategy_name,method,threads,parallel_time_seconds,elapsed_seconds,gflops,gflops_elapsed,ipc,cache_miss_rate,l1_miss_rate,llc_miss_rate,l2_miss_rate,normalized_l1_misses_per_element,speedup,efficiency
1024.0,OnMult - omp parallel + omp for,OnMult,4.0,2.98666,2.994691992,0.7190251478239906,0.71709666761616,0.82,0.00040460677049691443,0.384815486433071,0.00018768815777328474,0.9971382940142224,4044.098997116089,0.7674124272598822,0.19185310681497056
1024.0,OnMult - omp parallel for,OnMult,4.0,0.744241,0.750803929,2.8854680782165993,2.8602456181339457,0.68,0.0007407552466040299,0.494925631612379,0.0001954371111730046,0.9898764531338226,1019.987886428833,3.079647587273477,0.7699118968183692
1024.0,OnMultLine - parallel,OnMultLine,4.0,0.0961171,0.104379771,22.34236829866902,20.573753203578114,5.31,0.005219321446883,0.016715191589534436,0.027415925705408867,0.04088879771905638,35.61813831329346,3.402100146592022,0.8505250366480055
1536.0,OnMult - omp parallel + omp for,OnMult,4.0,9.41569,9.42986415,0.7697531792146938,0.7685961533178609,0.72,0.0036334468965753793,0.4269034632625812,0.0032900072114993217,0.9926126156457586,6234.7919184366865,0.9624361039923787,0.24060902599809467
1536.0,OnMult - omp parallel for,OnMult,4.0,2.72629,2.741765567,2.6584689493780926,2.643463540148836,0.64,0.00569692306068899,0.4973909597881648,0.004796883898857344,0.997386227398931,1539.7882982889812,3.3239310564906885,0.8309827641226721
1536.0,OnMultLine - parallel,OnMultLine,4.0,0.346227,0.363188942,20.933541612872478,19.955886520355566,4.82,0.013696264660635036,0.04006621580539873,0.037933821327996775,0.08397188258481525,125.45379850599501,3.523699769226548,0.880924942306637
2048.0,OnMult - omp parallel + omp for,OnMult,4.0,36.4836,36.507098642,0.47089292679450495,0.4705898256246315,0.48,0.05465130606807572,0.5337699966304364,0.05310720677796734,0.9048149573235081,10017.459292411804,0.655088861844774,0.1637722154611935
2048.0,OnMult - omp parallel for,OnMult,4.0,6.80686,6.831774245,2.5239051756610245,2.514700949987261,0.58,0.018881341411187025,0.5424171607148699,0.017738786888585004,0.9817714660841086,2239.108807325363,3.5111637377586726,0.8777909344396682
2048.0,OnMultLine - parallel,OnMultLine,4.0,1.22985,1.253551934,13.969076866284507,13.7049520789938,3.06,0.11521373447735897,0.02905772076151779,0.034943845487086865,0.2468573573252697,119.77684712409973,2.934504207830223,0.7336260519575557
2560.0,OnMult - omp parallel + omp for,OnMult,4.0,77.0925,77.130506973,0.4352489801212829,0.4350345060190766,0.46,0.0350371321139057,0.7497052140049418,0.03447267782730747,0.9385355358949086,17165.985729675293,0.8034114862016408,0.2008528715504102
2560.0,OnMult - omp parallel for,OnMult,4.0,17.6096,17.646883101,1.9054624750136289,1.9014367470989006,0.45,0.03455623371797379,0.8143519394546292,0.03374509100261655,0.955929703255517,4204.671529541016,3.5172292385971287,0.8793073096492822
2560.0,OnMultLine - parallel,OnMultLine,4.0,2.66919,2.706002074,12.571016675470835,12.400002321653801,2.76,0.1978208730086054,0.03422103169520892,0.07275420406815333,0.30253313953927424,176.4662809753418,2.7749991570476435,0.6937497892619109
3072.0,OnMult - omp parallel + omp for,OnMult,4.0,149.411,149.468807413,0.38807088163522097,0.38792079430853227,0.42,0.052202575635738414,0.810306436953345,0.051423985013067934,0.9225613663395686,21921.506719589233,1.023519018010722,0.2558797545026805
3072.0,OnMult - omp parallel for,OnMult,4.0,35.6124,35.665739159,1.6281424025339488,1.6257074678170138,0.38,0.05992710039380371,0.8747337965725585,0.059326954553241086,0.9475708621658782,5424.7469663619995,4.294150352124541,1.0735375880311353
3072.0,OnMultLine - parallel,OnMultLine,4.0,4.7222,4.773885972,12.278611345559273,12.14567311328315,2.75,0.22640338436808655,0.029375052982440114,0.08584900336585051,0.2711093444301881,180.86900838216147,2.813942653847783,0.7034856634619457
