algorithm,matrix_size,block_size,time_seconds,cpu_atom_cycles,cpu_core_cycles,cpu_atom_instructions,ipc_atom,cpu_core_instructions,ipc_core,cpu_atom_cache_references,cpu_core_cache_references,cpu_atom_cache_misses,cpu_core_cache_misses,cpu_atom_l1_dcache_loads,cpu_core_l1_dcache_loads,cpu_atom_l1_dcache_load_misses,cpu_core_l1_dcache_load_misses,cpu_atom_llc_loads,cpu_core_llc_loads,cpu_atom_llc_load_misses,cpu_core_llc_load_misses,cpu_core_mem_load_retired_l1_miss,cpu_core_mem_load_retired_l2_miss,elapsed_seconds,user_seconds,sys_seconds,cpu_atom_mem_load_retired_l1_miss,cpu_atom_mem_load_retired_l2_miss,cache_miss_rate,l1_miss_rate,llc_miss_rate,instructions_per_cycle,gflops_estimate,normalized_cache_misses_per_element,normalized_l1_misses_per_element,speedup_vs_onmult,speedup_vs_onmultline
OnMultBlock,2048.0,128.0,2.874,,13804554947.0,,,61057823745.0,4.42,,33373726.0,,9919685.0,,17318765830.0,,234520500.0,,1450907.0,,358226.0,223717153.0,1446601.0,2.907874621,2.877306,0.029992,,,0.2972303721796002,0.013541409491994961,0.24689797485297127,4.42,5.9080501820576945,2.365037202835083,55.91404438018799,8.229020761139619,1.2494468656803894
OnMultBlock,2048.0,256.0,2.709,8012336879.0,13175918141.0,23919041087.0,2.99,60960257520.0,4.63,27544663.0,38777583.0,13531212.0,10473101.0,6804770410.0,17313556911.0,,502374319.0,2978342.0,4696367.0,487614.0,1100732.0,492743108.0,4697831.0,2.743420067,2.71263,0.029984,,,0.2700813250789767,0.029016239793038794,0.23437946821447303,4.63,6.262208762942609,2.4969818592071533,119.77537131309509,8.722310124809624,1.3243450664750132
OnMultBlock,2048.0,512.0,2.717,,13508895901.0,,,60508591937.0,4.48,,1026887306.0,,12652552.0,,17247230230.0,,722134229.0,,59485782.0,,1860718.0,732955993.0,61000875.0,2.75090765,2.718881,0.030987,,,0.012321266341566793,0.04186957670130203,0.031280046045288605,4.48,6.245163913081561,3.016603469848633,172.17021679878235,8.69856922568811,1.320740385814115
OnMultBlock,2560.0,128.0,5.462,,27173401962.0,,,119138270040.0,4.38,,61939647.0,,18302730.0,,33733799705.0,,694625352.0,,4308028.0,,1107223.0,675163276.0,4292637.0,5.513691776,5.46568,0.046988,,,0.2954929659189049,0.020591375951551735,0.25701388198962494,4.38,6.085656101789321,2.792774963378906,105.99141723632812,11.242666846707683,1.3498179360325564
OnMultBlock,2560.0,256.0,5.291,5072457102.0,24918633104.0,2084571412.0,0.41,118470649978.0,4.75,58893379.0,74815860.0,18218815.0,22206962.0,538090588.0,33700040072.0,,613765149.0,14405574.0,5222208.0,0.0,1269793.0,595454268.0,5060949.0,5.344424476,5.300111,0.042992,,,0.2968215830172907,0.018212594041095893,0.2431525132664191,4.75,6.278399507876215,3.388513488769531,93.65312942504883,11.598741831111994,1.3925690383354945
OnMultBlock,2560.0,512.0,5.406,17318181303.0,26410318116.0,43093338888.0,2.49,118604869807.0,4.49,145216639.0,2044310693.0,54922293.0,24643643.0,11890696413.0,33783323591.0,,1369189104.0,21996869.0,112529614.0,32111.0,3529433.0,1389072906.0,114454453.0,5.464272572,5.412153,0.050992,,,0.012054744459530154,0.04052854954640274,0.03136448153105724,4.49,6.140695135147443,3.7603215026855468,208.92167724609374,11.344346189946984,1.3620257692005926
OnMultBlock,3072.0,128.0,9.441,33775880123.0,47121959718.0,34305328733.0,1.02,205861109509.0,4.37,407758410.0,102387469.0,340947608.0,27147343.0,7094937860.0,58331443812.0,,1509324592.0,18988478.0,8928387.0,126635.0,2327327.0,1469622493.0,9034392.0,9.519269587,9.450099,0.066986,,,0.2651432178678037,0.02587497399969209,0.2606660083170678,4.37,6.091019690752667,2.8766359753078885,159.9337887234158,16.07378394314614,1.401553794234402
OnMultBlock,3072.0,256.0,8.789,,43212154295.0,,,204630614904.0,4.74,,127565322.0,,24160970.0,,58200764408.0,,1589624592.0,,12743564.0,,1834626.0,1549618359.0,12557739.0,8.868592002,8.791873,0.074981,,,0.18940076833733857,0.027312778589236152,0.14396490652065624,4.74,6.537910243579159,2.560188505384657,168.44268290201822,17.25309751576054,1.5043840561152473
OnMultBlock,3072.0,512.0,9.196,,44585992810.0,,,204136370834.0,4.58,,3688403549.0,,31850538.0,,58162209821.0,,2241918921.0,,180962277.0,,3982554.0,2250009509.0,179609351.0,9.272614773,9.206201,0.063987,,,0.00863531811985034,0.03854597216817808,0.022007647483348144,4.58,6.253042956646075,3.375004450480143,237.5622771581014,16.501352248940233,1.4388356180662827
OnMultBlock,4096.0,128.0,22.321,,109100610709.0,,,487793746750.0,4.47,,276250862.0,,61075979.0,,138209169254.0,,1831765565.0,,11467884.0,,1347822.0,1767936231.0,11335785.0,22.454187299,22.335311,0.112971,,,0.22108882686490947,0.013253574816252545,0.11753013895152759,4.47,6.1208607393294905,3.6404120326042175,109.1817358136177,,1.4888044146442478
